HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,CC US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,GM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity
18.0667,13.2329,409.5714,14.1678,184.3542,7.2188,13.6338,35.1329,35.4444,16.3936,90.54402558139539,30.2294,90.54402558139539,3.3605,9.7065,47.6512,24.161,91.75,12.7428,5.6853,13.3793,90.54402558139539,8.6207,10.3192,34.1923,24.4457,12.0255,9.541,3.7119,90.54402558139539,90.54402558139539,1.8368,15.0757,-1.4773,2508.5,90.54402558139539,4.9908,11.0603,2.4989,16.4815,51.5641,2.7791,9.2271,90.54402558139539,5.135,127.88,4.0078,15.9778,9.1405,19.9762
17.2692,14.550699999999999,215.0,15.4853,184.3542,6.2073,14.1857,34.2963,30.8387,16.3485,83.67161162790694,36.1168,83.67161162790694,3.6092,8.8906,45.4545,21.2578,64.8889,10.656,4.6533999999999995,7.5,83.67161162790694,8.6207,13.994,30.4157,12.551,12.8022,7.7661,4.0242,83.67161162790694,83.67161162790694,0.9489,7.0362,-3.6,2508.5,83.67161162790694,6.156,14.1299,2.4366,21.2222,44.2016,2.8771,8.9125,83.67161162790694,6.1576,97.1176,4.4109,16.2993,11.9593,7.3766
12.0377,14.550699999999999,62.7808,11.4712,182.4706,8.1126,9.2222,42.4673,26.8571,10.457699999999999,72.03355813953486,35.3309,72.03355813953486,4.25,10.8186,40.3409,-255.8421,80.5714,1.8014000000000001,4.0364,1.3333,72.03355813953486,8.6207,9.0109,29.4946,-21.156,-1.6902,7.3488,4.6599,72.03355813953486,72.03355813953486,1.2868,7.0362,-0.7273,2508.5,72.03355813953486,4.8909,12.6655,2.2814,22.7333,81.6481,3.2437,9.5311,72.03355813953486,4.423,65.6,4.8843,17.0156,6.6393,6.4337
22.8585,12.2609,78.5,14.0792,182.4706,2.4478,14.9851,47.328,28.9677,15.8107,82.52762558139541,49.6944,82.52762558139541,4.4878,3.0906,50.8205,26.6374,85.3333,4.9474,5.3869,10.4792,82.52762558139541,8.6207,6.8769,26.3061,21.3958,12.659,7.124,4.1474,82.52762558139541,82.52762558139541,2.4568,25.2683,0.7143,2508.5,82.52762558139541,6.1376,18.0997,2.5631,29.56,49.0426,2.6310000000000002,3.3614,82.52762558139541,6.4492,112.1667,4.9688,16.1484,5.9426,6.9615
23.547,-30.5,98.6607,12.6593,14.1768,7.8929,14.1972,51.322,42.125,14.9565,79.33613255813945,42.4188,79.33613255813945,5.05,9.7953,49.6829,30.5574,89.0,5.9541,4.2073,11.4043,79.33613255813945,8.6207,8.0945,38.2449,22.5306,12.9503,8.3125,4.2364,79.33613255813945,79.33613255813945,2.6176,26.5708,3.234,2508.5,79.33613255813945,4.3839,14.6357,2.0984,21.0606,51.4286,3.2067,7.6058,79.33613255813945,5.1975,114.3448,4.2441,17.4135,6.959,17.8553
16.8372,8.25,100.0909,14.0048,19.5294,8.961500000000001,13.9041,54.0286,16.8824,17.3284,81.7869883720931,43.5802,81.7869883720931,3.8617,7.7091,63.0909,80.8615,78.625,13.1054,6.5635,12.7609,81.7869883720931,8.6207,9.9408,33.4082,24.6087,13.0314,8.2443,4.8016,81.7869883720931,81.7869883720931,2.3914,24.5863,4.2955,2508.5,81.7869883720931,6.0189,18.8073,1.5030999999999999,18.9565,61.732,3.3744,4.8113,81.7869883720931,5.7726,137.7143,4.379,17.4565,7.7395,6.1707
11.1649,-16.8421,122.0811,10.5089,14.8662,7.4146,13.6197,36.0896,16.2449,11.0142,77.12690697674417,22.2045,77.12690697674417,-0.2301,11.7113,60.5,31.0085,34.4737,3.4936,4.6611,14.8667,77.12690697674417,8.6207,9.8138,32.9485,25.266,13.0314,8.146,4.8016,77.12690697674417,77.12690697674417,2.1418,31.8977,2.1702,2508.5,77.12690697674417,4.9266,15.6543,2.7282,13.2222,71.7876,4.8054,5.6517,77.12690697674417,6.055,106.84,3.6031,19.1417,-0.7034,6.5556
18.4074,5.1915,122.7347,15.3193,15.567,4.7401,13.0845,48.8309,18.9167,11.8846,77.93179069767444,30.1462,77.93179069767444,5.2289,10.0855,55.8378,10.4078,36.3529,5.3955,5.5594,10.4,77.93179069767444,8.6207,8.4354,30.1456,22.0111,12.6686,6.5108,4.1527,77.93179069767444,77.93179069767444,2.9287,21.1944,2.5217,2508.5,77.93179069767444,7.6818,20.3729,2.7135,15.8298,39.0,3.5324,4.5635,77.93179069767444,7.7929,141.65,4.5286,17.4286,6.4426,7.75
23.0706,5.1474,127.1321,15.7341,14.4052,7.8109,13.7778,54.0469,19.4043,17.599,79.98622790697682,31.8645,79.98622790697682,6.3373,3.6051,49.2,13.48,48.2667,13.3987,5.3424,11.375,79.98622790697682,8.6207,10.6531,37.9778,13.7079,11.5392,9.0576,4.3654,79.98622790697682,79.98622790697682,1.8492,29.9167,2.6047000000000002,2508.5,79.98622790697682,5.1415,15.0015,2.5181,16.2885,46.0,3.503,10.3623,79.98622790697682,5.822,160.2222,3.2209,19.3188,7.5086,24.7101
19.6933,3.9222,125.0377,15.6945,22.0472,10.345,15.2361,50.1231,8.8889,11.7647,1.7143000000000002,26.557,79.30042727272723,5.0114,9.8562,80.3929,32.2604,51.4667,11.265,6.2025,8.98,79.30042727272723,8.6207,11.9516,39.5889,28.0345,19.0089,8.949300000000001,4.3991,79.30042727272723,79.30042727272723,2.7798,30.9429,-6.878,2508.5,79.30042727272723,5.1028,18.7935,3.1432,12.25,42.6825,3.6973000000000003,9.9866,79.30042727272723,5.8361,176.3333,3.219,19.5208,7.4153,8.8816
