HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,CC US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,GM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity
17.3542,56.6322,44.5577,18.3728,28.3215,42.3226,18.8077,18.5366,26.0807,7.4797,23.647075555555546,12.0577,23.647075555555546,-5.0859,10.693200000000001,26.7886,-4.3277,13.9118,14.6685,33.6334,5.6492,23.647075555555546,21.6524,17.993,28.0467,13.8079,30.8226,36.2773,25.4808,36.3659,13.9475,-58.4917,27.4329,17.9161,17.3377,23.647075555555546,27.7699,18.1828,61.8183,46.8557,27.1355,60.8177,10.0399,23.647075555555546,26.5618,54.1534,36.0275,36.5477,24.2848,18.8798
17.6153,50.7136,58.2536,19.0563,35.4781,47.523,17.7456,35.1929,10.2152,11.9749,27.455295555555548,13.7689,27.455295555555548,14.0944,11.2743,27.2842,9.5184,13.1154,16.0772,35.2532,18.8321,27.455295555555548,14.9623,16.7586,26.5988,12.7302,35.2145,34.0036,24.6708,37.9398,6.1495,38.4681,26.408,13.6116,20.8511,27.455295555555548,29.4741,21.3564,61.5596,57.5887,17.5037,76.1957,8.3158,27.455295555555548,24.3152,55.9142,32.4199,34.174,23.9523,21.3652
17.0719,50.0697,47.541,19.222,23.5343,39.9045,18.9417,32.6614,27.1446,13.1434,28.439853333333296,18.1812,28.439853333333296,17.1237,11.3443,27.7522,10.7102,14.9002,21.3866,13.9641,21.0386,28.439853333333296,12.7343,19.4777,27.5055,15.1672,35.3869,38.6008,30.3462,36.7888,12.1902,37.1544,25.846,13.9679,20.4115,28.439853333333296,28.404,13.8166,61.4108,59.7368,22.9978,85.6942,13.605,28.439853333333296,27.5564,54.66,34.1634,39.3831,28.3407,38.8116
11.1902,56.9888,45.6402,20.859,28.5591,40.9374,18.1362,31.6847,29.5596,11.0862,27.169162222222255,15.6445,27.169162222222255,19.3527,9.6123,26.9712,10.1908,15.0838,18.4622,38.9002,22.495,27.169162222222255,22.6069,20.9104,19.8101,16.9291,32.6272,38.7622,34.6968,41.4033,12.2806,35.7268,21.4215,30.9885,19.6649,27.169162222222255,30.7153,22.7576,60.2304,69.3634,23.0357,52.9457,13.8782,27.169162222222255,29.0999,54.1465,-39.8261,40.2223,26.615099999999998,20.2459
15.6212,55.573,43.5899,16.2846,39.963,36.2038,17.8325,26.9177,20.0686,11.3482,25.547551111111122,13.3436,25.547551111111122,10.8173,11.2144,23.6101,5.4525,14.6412,11.8962,34.6589,15.6528,25.547551111111122,18.2083,18.5338,23.8116,15.7663,22.3048,35.5769,33.2526,37.7144,16.3315,34.6224,25.4773,8.8035,20.1826,25.547551111111122,27.7036,18.834,55.4713,53.3679,27.3338,66.5604,11.443,25.547551111111122,27.1151,54.8884,-39.8261,38.39,55.4754,17.6075
18.0323,54.1988,41.7357,21.1851,33.1352,35.3914,15.6492,33.1169,27.497,12.2758,27.396577777777797,13.1538,27.396577777777797,24.7539,11.1453,25.5369,5.407,15.7513,13.1357,35.9814,21.7292,27.396577777777797,21.3633,15.9982,23.7265,15.2043,33.2576,31.0305,37.1539,40.5529,4.4167,42.4376,22.6396,11.7535,21.889499999999998,27.396577777777797,26.1209,20.9435,58.748,61.8664,18.9905,53.5218,4.2794,27.396577777777797,28.5843,60.007,43.8268,34.1203,23.3967,18.2044
17.1826,50.2936,65.0601,19.198,27.5646,35.4982,17.3417,27.2097,28.2805,10.4118,28.91550000000004,34.589,28.91550000000004,15.2795,11.1453,25.7031,8.9655,18.2719,21.4816,32.9938,21.2202,28.91550000000004,13.5424,17.3652,25.762,16.5871,34.1864,38.0321,36.0047,33.8831,11.0182,42.3392,26.8801,12.8402,22.0271,28.91550000000004,26.43,21.1363,59.4109,51.9497,22.4743,64.8606,9.9086,28.91550000000004,26.1571,59.6145,43.498,36.9082,24.6489,36.0419
9.6018,54.0452,44.5597,20.6632,30.4263,33.6696,17.7072,29.3846,26.4731,8.8662,28.278019999999998,28.0504,28.278019999999998,15.1689,9.7732,25.1228,6.2093,15.6291,19.5308,32.3915,18.7638,28.278019999999998,19.7601,19.394,26.7023,16.0489,34.478,40.0138,36.9146,44.8475,9.199,43.9096,14.6003,8.3383,22.5749,28.278019999999998,29.0508,23.1421,57.8341,67.215,23.5386,65.9572,7.0919,28.278019999999998,29.1508,60.2398,44.3712,38.9335,24.4179,18.75
15.1855,-26.9078,43.3519,10.3769,24.7362,38.1597,17.0209,25.6352,22.0367,8.4885,21.60475555555556,32.0965,21.60475555555556,15.356,10.6304,23.7128,2.5191,16.8055,7.0415,30.7304,5.1074,21.60475555555556,14.1709,14.8973,26.8906,11.6335,-13.5895,36.5749,39.375,32.7888,13.1864,32.9372,26.3123,-32.6183,20.1016,21.60475555555556,27.2307,18.327,57.1251,-9.4641,28.0777,63.1597,12.5503,21.60475555555556,25.1976,61.1369,43.8897,39.7416,52.2901,8.207699999999999
55.3867,52.404,42.0043,19.6936,28.736,24.2004,17.5157,33.069,25.6198,10.2419,28.39606888888895,37.5591,28.39606888888895,14.324,10.7547,26.0085,5.2438,16.3909,15.0609,28.6226,18.2867,28.39606888888895,14.7353,12.2025,25.9226,15.4385,33.502,34.8153,42.0245,42.5138,5.8518,41.5907,23.7041,10.0495,23.5777,28.39606888888895,24.2966,22.4817,59.7101,69.0335,19.4058,62.7106,9.8391,28.39606888888895,32.4295,58.9821,34.423,37.8912,21.7906,17.7784
57.0698,43.3378,42.6098,20.8456,29.8431,30.9755,18.3716,30.4947,26.7917,9.280100000000001,28.95972444444441,37.6098,28.95972444444441,16.1182,10.6443,27.1967,7.5796,16.487,21.8292,36.8745,20.939,28.95972444444441,14.7661,23.054,25.7905,16.8477,35.8385,40.501,29.132,42.2271,9.1953,41.3569,23.6317,-5.1221,22.1448,28.95972444444441,27.0243,19.5864,62.634,47.6956,23.3991,57.8343,14.9949,28.95972444444441,33.4286,55.4265,27.7898,41.3139,31.9746,35.8241
58.4635,40.4839,38.2875,21.6393,27.8764,23.2102,18.9287,27.1522,27.495,10.0615,28.188833333333367,34.9905,28.188833333333367,17.7201,10.0833,26.6773,7.2413,14.1816,18.7403,27.7596,16.6003,28.188833333333367,14.7588,30.9199,25.7859,9.4101,33.5325,35.7594,31.9974,45.3426,9.5929,25.4632,20.3189,-14.026,20.4086,28.188833333333367,30.6393,20.3207,61.7366,80.4211,22.1481,57.2612,15.0328,28.188833333333367,36.082,55.3562,32.4772,41.793,42.5022,15.8704
22.3155,39.8627,36.4308,17.5685,16.2519,29.9648,12.511800000000001,25.8799,20.0373,4.1561,20.75350222222222,30.8626,20.75350222222222,18.7,9.7113,24.0287,-86.5673,13.1407,6.2369,27.2871,2.9507,20.75350222222222,10.4748,18.9343,24.7496,-15.826,-4.2544,35.3204,35.8455,40.8296,14.1821,26.5831,19.4703,-2.9412000000000003,20.7527,20.75350222222222,22.9034,17.1216,55.6757,61.7195,30.0915,60.5062,19.8837,20.75350222222222,27.6232,31.8911,31.1053,41.4857,23.5877,14.8622
39.6823,38.6654,36.7653,21.5723,15.8515,25.074,18.8793,33.7961,26.0441,9.1363,26.978151111111135,37.8865,26.978151111111135,18.8621,11.6365,25.9628,6.572,13.0546,14.348,33.519800000000004,21.8032,26.978151111111135,10.7063,15.5635,24.3898,15.2896,33.3875,33.5646,31.7475,55.5248,4.5771,43.2826,19.2637,2.584,21.5104,26.978151111111135,26.5898,24.1085,60.4004,67.7982,19.6941,45.472,7.7188,26.978151111111135,32.8733,57.3059,35.1381,39.0737,21.7326,15.6079
89.7687,-108.8206,40.9775,21.4877,22.1982,32.3889,19.138,33.8759,27.5552,8.1639,11.5997,37.176,25.325934782608716,21.5582,9.7856,26.2771,4.7703,15.7348,17.8987,27.2665,21.9672,25.325934782608716,4.8018,16.6846,33.5182,16.3471,33.3094,37.9729,38.2168,45.3601,9.2521,44.1613,19.5158,10.4038,18.6827,25.325934782608716,22.0674,21.1496,50.8315,62.3878,20.2215,51.7329,13.8536,25.325934782608716,32.5002,55.6189,30.5037,42.34,24.0783,28.7135
53.2353,32.6733,39.7933,21.9339,24.4898,32.2516,19.2892,32.2788,23.2075,9.8812,11.415,41.8456,28.463228260869595,19.5477,7.3705,26.3012,13.4828,14.7445,19.6177,39.9067,25.1069,28.463228260869595,24.0,19.7445,28.2047,16.7443,33.5935,38.2436,38.5817,45.8824,10.1114,43.2421,18.8537,11.8943,19.4796,28.463228260869595,26.7281,22.7801,36.6156,65.5147,25.6577,49.9549,15.388,28.463228260869595,33.9821,59.7922,33.4566,43.2263,25.435,13.8289
39.7869,-73.1261,35.3886,16.1277,20.7402,29.5385,19.7549,26.347,18.4174,6.2151,12.6838,29.4854,23.640421739130474,-1.4706000000000001,7.9596,25.578,8.9613,14.2764,11.5321,45.4098,29.5364,23.640421739130474,13.8337,19.2443,26.8436,15.8587,33.5935,38.7365,38.5817,42.0754,13.151299999999999,37.2002,20.7536,7.3014,18.5732,23.640421739130474,21.2002,18.3402,61.2175,56.1321,29.6221,75.6988,9.7389,23.640421739130474,31.7576,52.4548,28.4337,43.1794,-2.3714,13.166
55.78,27.6644,43.482,23.2248,23.4297,14.868,19.0096,36.6602,23.5967,6.8904,12.0723,33.4415,27.760171739130477,25.0,9.2033,26.3823,2.8657,14.0263,14.836,35.8614,20.3037,27.760171739130477,12.769,17.0143,27.627,14.377,33.5479,33.6556,91.1223,44.511,0.6887,44.1946,16.0463,8.05,19.9278,27.760171739130477,21.5013,24.1963,59.745,57.4961,18.4161,53.2329,8.715,27.760171739130477,28.6431,57.025,36.2493,41.1139,23.1449,15.3592
69.3178,27.7054,46.2966,22.7566,23.4351,30.8599,20.0283,35.486,21.9547,9.7378,9.2443,35.7355,28.61428913043479,26.7821,9.2056,27.2191,3.3998,14.9741,22.5241,37.719,22.1951,28.61428913043479,12.6354,20.4809,28.3557,8.5506,31.208,41.3872,49.1076,44.301,8.9599,29.0148,21.2972,7.8376,19.6659,28.61428913043479,20.2001,20.7884,53.7165,65.7099,26.0157,51.3149,15.5014,28.61428913043479,32.9118,56.1855,31.2872,44.3225,24.4594,34.4653
55.1531,20.2176,45.0173,22.2453,28.1849,38.614,21.697,35.2846,11.8125,6.8729,3.183,32.7566,27.89268043478261,23.0287,8.3401,27.6638,7.8894,15.7873,20.0891,39.2807,18.6075,27.89268043478261,15.3737,21.3808,28.1749,17.0679,58.6006,40.8535,49.867,43.0886,10.943200000000001,40.1625,21.3231,-22.7603,20.0258,27.89268043478261,21.0405,20.9801,63.0825,52.3849,24.0121,51.6666,15.4298,27.89268043478261,34.114,53.9356,32.6728,45.4707,24.2921,18.1549
45.4439,23.2028,36.8829,20.0029,20.2755,18.7457,7.5601,26.1806,14.0194,-2.1188,-3.3647,13.1602,20.560258695652163,23.434,9.7927,26.0656,8.2061,13.8703,12.4121,33.3513,6.3431,20.560258695652163,12.9804,20.0636,14.207699999999999,7.8704,-2.6191,39.4425,48.0473,42.7271,15.6101,26.2845,22.852899999999998,-8.835,15.6581,20.560258695652163,27.5179,20.0034,58.2,26.5921,27.1804,49.4811,13.214,20.560258695652163,28.3732,-51.2654,42.5035,46.5139,30.8118,18.8898
19.6359,39.858,38.5525,23.458,17.9965,26.2061,20.081,35.9215,11.6105,9.3186,0.8088,23.9502,24.989876086956535,18.703,9.8954,27.3027,6.4152000000000005,14.3555,14.8175,38.5655,18.6656,24.989876086956535,11.9436,18.3436,23.1167,15.5899,31.1119,33.1905,55.6054,44.8034,6.4462,47.663,20.0327,-9.7665,16.6667,24.989876086956535,22.8887,22.8354,59.4572,53.3889,19.1935,48.3033,8.9688,24.989876086956535,33.5831,24.5387,38.1119,43.9615,24.0789,19.3593
21.659,35.587,44.7079,22.1326,20.7348,32.8984,-7.6459,32.6418,11.1919,9.7899,7.3246,27.0951,26.22018260869564,23.6431,10.7879,28.4153,9.630700000000001,16.9292,23.6712,38.4147,24.1216,26.22018260869564,11.6794,19.365,27.9911,17.5239,31.1119,39.1449,47.9506,46.6667,9.3528,48.0751,20.9091,-10.9331,13.7477,26.22018260869564,19.3563,4.3047,58.6161,51.2514,23.4084,52.0309,15.138,26.22018260869564,27.602899999999998,44.5085,44.5895,45.0543,24.8567,39.0948
30.8199,25.4487,43.2144,23.6274,12.0387,29.3609,20.3688,32.5225,12.3844,9.8049,5.9291,8.1658,24.118586956521764,20.9594,8.1587,28.9289,7.6668,14.8485,19.9477,41.5703,23.4573,24.118586956521764,11.6099,30.7596,27.2073,17.6371,31.1785,40.4718,49.574,47.3483,9.789,46.1933,21.2816,-1.5657999999999999,17.7738,24.118586956521764,24.9423,18.7205,61.9647,29.9906,22.583,53.729,16.172,24.118586956521764,30.7412,-63.2542,43.8021,48.8134,27.7083,25.0606
-76.4586,3.7879,33.4477,20.3336,12.4168,26.3205,17.8674,23.5922,13.2155,10.9314,13.4478,-37.8834,11.410410869565201,20.6951,12.6283,25.9934,10.0149,7.5535,14.4052,38.2853,14.1124,11.410410869565201,13.9269,15.6858,-1.6658,16.1455,33.2605,36.9738,47.3034,43.1381,15.0969,40.1882,22.7641,-4.2067,7.4419,11.410410869565201,14.7567,22.4442,56.0049,-63.0623,26.6455,46.5138,13.6569,11.410410869565201,30.9906,-193.9416,-14.8554,46.755,24.7381,23.473
10.1747,31.6005,23.9045,25.1024,12.8357,20.4146,21.8052,36.283,15.8737,9.4146,-13.2375,10.8963,23.953419148936135,20.0,11.472,28.9378,11.4424,13.9361,18.1293,40.3757,24.4186,23.953419148936135,8.3139,18.8448,25.7209,16.4725,33.7832,40.3306,53.2074,44.7241,4.5332,43.1081,17.8301,5.6475,10.3138,23.953419148936135,24.357,21.8405,61.9494,40.0906,11.9889,50.5641,10.8289,7.8075,35.5932,25.7183,42.5904,45.3303,25.8186,24.723300000000002
