HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,CC US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,GM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date
3.8463000000000003,10.0336,4.7546,10.3155,6.5903,7.8476,10.4718,9.7195,9.1255,2.0503,12.485086666666666,4.5702,12.485086666666666,14.8912,7.3766,8.3249,3.0193,6.0811,7.2361,10.8146,6.7745999999999995,12.485086666666666,3.939,15.9611,8.8755,10.1208,9.5645,7.1878,7.6777999999999995,11.7891,9.8321,7.9038,16.2786,157.7037,3.8875,12.485086666666666,7.6826,13.1816,24.8498,11.3217,9.7101,21.1039,9.4235,12.485086666666666,11.0976,5.1247,9.6658,8.0188,5.6818,10.4021,2012-06-30 00:00:00
3.8035,13.4648,4.5761,11.0939,7.2835,7.8646,10.6063,9.7645,10.0192,2.086,12.903068888888892,4.3389,12.903068888888892,16.6697,7.8539,8.3794,2.4271,6.0607,8.2327,15.8166,10.6661,12.903068888888892,4.1769,11.0669,9.5679,10.4363,9.9377,6.8194,7.9722,11.2497,10.4045,8.9767,17.8273,157.7037,4.5502,12.903068888888892,7.6916,13.4252,25.1434,10.2976,10.4503,21.6158,8.7305,12.903068888888892,10.1385,5.2982,12.3424,7.7268,4.8836,11.1973,2012-09-30 00:00:00
3.9054,7.0959,4.2178,10.8965,7.7447,6.8572,10.9981,9.6924,11.1298,3.429,13.246811111111109,4.3656,13.246811111111109,16.0986,7.3438,8.3669,3.3659,7.6955,7.742,14.4494,12.979,13.246811111111109,4.598,10.4578,9.1188,23.554,8.246,6.8112,8.1559,9.9871,10.4216,11.1084,23.3031,157.7037,4.2115,13.246811111111109,7.9473,12.9081,24.3649,7.9638,9.3817,22.8466,8.5002,13.246811111111109,10.0005,5.6011,14.6288,7.8862,6.2594,11.7673,2012-12-31 00:00:00
4.2608,7.619,4.7029,12.0066,8.198,7.2137,12.1531,11.0434,11.9814,3.8635,13.742459999999998,4.4446,13.742459999999998,15.3482,8.0872,9.468,3.3659,8.9808,8.8085,13.4921,11.6127,13.742459999999998,4.7844999999999995,11.0317,9.8494,27.178,8.7917,8.0218,9.3428,9.9246,13.2034,10.4426,12.1483,157.7037,4.9496,13.742459999999998,8.0936,15.1151,26.9715,8.9727,10.3233,25.8638,9.899000000000001,13.742459999999998,10.6686,5.8038,16.68,8.6597,6.8796,10.4575,2013-03-31 00:00:00
3.3911,35.5716,5.506,11.4659,7.3182,6.6059,11.9201,10.9252,11.2303,4.4524,14.215415555555552,4.5876,14.215415555555552,13.5081,7.4022,9.7598,3.3659,8.5236,9.9696,12.4223,10.3983,14.215415555555552,5.2158,12.8892,8.614,27.4359,8.6229,7.9048,8.8674,10.1937,12.0503,10.2374,12.4276,157.7037,5.3047,14.215415555555552,8.2036,15.0578,27.6201,8.6726,9.7527,24.6057,10.7227,14.215415555555552,10.2389,6.4046,15.2848,9.0947,7.4605,10.7835,2013-06-30 00:00:00
4.1154,73.9553,5.1076,12.1573,6.2228,5.9094999999999995,11.4452,10.5538,12.0223,4.8057,15.0917,4.952,15.0917,14.219,7.1485,10.5368,3.3659,10.0857,11.2642,11.2764,9.6469,15.0917,5.1312,16.1733,9.9685,21.7285,8.3378,7.9959,8.5458,9.6261,10.9165,8.1482,12.5041,157.7037,5.5189,15.0917,8.3287,14.7406,29.2213,9.2509,9.267,22.2242,12.2449,15.0917,10.206,6.3446,16.8203,8.9345,8.9384,11.5163,2013-09-30 00:00:00
4.1596,65.3097,5.7157,12.5754,8.4778,5.6521,11.4125,11.0044,12.395,4.227,11.777191111111112,5.1185,11.777191111111112,20.814799999999998,7.6181,11.816,3.011,10.2327,12.1859,11.0436,7.1971,11.777191111111112,5.3453,16.0076,9.6626,11.5977,8.5418,8.7493,8.4753,10.6467,11.0233,7.9391,14.2384,10.8309,5.9291,11.777191111111112,8.4962,14.5381,28.2755,9.3087,9.5306,16.8232,13.1841,11.777191111111112,9.8706,6.0909,18.8652,9.2725,12.9927,13.7713,2013-12-31 00:00:00
4.5008,65.3097,5.7474,13.585,11.3761,6.9299,12.1796,11.4508,12.9947,4.5019,12.078804444444444,5.079,12.078804444444444,19.1382,7.6618,11.3431,3.416,10.3887,11.5821,10.9462,7.7697,12.078804444444444,6.5616,15.7994,9.9801,10.7327,8.5418,9.1037,8.4753,10.794599999999999,14.3888,7.6562,15.9024,8.9,5.8942,12.078804444444444,8.5156,15.6828,30.2771,9.8296,9.8447,16.6792,12.3679,12.078804444444444,10.107,6.3273,19.9546,9.8918,12.0209,13.4162,2014-03-31 00:00:00
5.8568,559.7132,6.6629000000000005,14.2454,11.5963,7.9763,12.2861,11.6951,13.2954,4.6787,23.532286666666668,6.1096,23.532286666666668,19.0099,7.9608,11.6861,3.656,10.6839,11.3357,10.5454,7.8408,23.532286666666668,4.7027,15.1318,12.3229,12.9126,8.5418,9.0557,8.4753,12.2539,14.636800000000001,9.3178,16.2623,7.9695,6.3948,23.532286666666668,8.6435,14.7752,31.0404,10.2008,8.7624,16.6659,12.3582,23.532286666666668,10.0065,6.9907,28.9656,10.1447,12.3325,13.2542,2014-06-30 00:00:00
5.1591,533.203,7.1816,12.8581,9.4546,6.7499,11.558,11.3555,15.6975,4.4092,22.58959777777778,6.1183,22.58959777777778,15.4937,8.6041,11.2649,3.9520999999999997,8.6421,10.5121,10.4675,7.7356,22.58959777777778,4.6559,14.8094,10.4152,12.0381,8.5418,9.3092,8.4753,13.3468,13.3594,10.0319,16.6182,7.4767,5.9947,22.58959777777778,8.975999999999999,14.9016,25.9316,9.9755,9.1764,16.4492,11.0066,22.58959777777778,9.4698,7.3512,31.8833,10.455400000000001,13.2495,12.2163,2014-09-30 00:00:00
