date;jour;mois
19/12/2018;-0,367;
18/12/2018;-0,366;
17/12/2018;-0,364;
14/12/2018;-0,362;
13/12/2018;-0,361;
12/12/2018;-0,36;
11/12/2018;-0,36;
10/12/2018;-0,358;
07/12/2018;-0,359;
06/12/2018;-0,359;
05/12/2018;-0,358;
04/12/2018;-0,369;
03/12/2018;-0,355;
30/11/2018;-0,349;-0,361
29/11/2018;-0,363;
28/11/2018;-0,365;
27/11/2018;-0,362;
26/11/2018;-0,362;
23/11/2018;-0,362;
22/11/2018;-0,362;
21/11/2018;-0,363;
20/11/2018;-0,362;
19/11/2018;-0,362;
16/11/2018;-0,362;
15/11/2018;-0,368;
14/11/2018;-0,36;
13/11/2018;-0,362;
12/11/2018;-0,36;
09/11/2018;-0,361;
08/11/2018;-0,363;
07/11/2018;-0,362;
06/11/2018;-0,362;
05/11/2018;-0,362;
02/11/2018;-0,362;
01/11/2018;-0,353;
31/10/2018;-0,341;-0,366
30/10/2018;-0,366;
29/10/2018;-0,37;
26/10/2018;-0,369;
25/10/2018;-0,368;
24/10/2018;-0,369;
23/10/2018;-0,369;
22/10/2018;-0,369;
19/10/2018;-0,368;
18/10/2018;-0,37;
17/10/2018;-0,371;
16/10/2018;-0,37;
15/10/2018;-0,369;
12/10/2018;-0,368;
11/10/2018;-0,366;
10/10/2018;-0,367;
09/10/2018;-0,365;
08/10/2018;-0,365;
05/10/2018;-0,362;
04/10/2018;-0,364;
03/10/2018;-0,365;
02/10/2018;-0,365;
01/10/2018;-0,363;
28/09/2018;-0,351;-0,363
27/09/2018;-0,365;
26/09/2018;-0,367;
25/09/2018;-0,367;
24/09/2018;-0,366;
21/09/2018;-0,367;
20/09/2018;-0,366;
19/09/2018;-0,365;
18/09/2018;-0,367;
17/09/2018;-0,366;
14/09/2018;-0,366;
13/09/2018;-0,365;
12/09/2018;-0,371;
11/09/2018;-0,364;
10/09/2018;-0,358;
07/09/2018;-0,361;
06/09/2018;-0,357;
05/09/2018;-0,356;
04/09/2018;-0,353;
03/09/2018;-0,356;
31/08/2018;-0,342;-0,359
30/08/2018;-0,359;
29/08/2018;-0,364;
28/08/2018;-0,363;
27/08/2018;-0,363;
24/08/2018;-0,363;
23/08/2018;-0,363;
22/08/2018;-0,363;
21/08/2018;-0,363;
20/08/2018;-0,361;
17/08/2018;-0,36;
16/08/2018;-0,359;
15/08/2018;-0,362;
14/08/2018;-0,359;
13/08/2018;-0,357;
10/08/2018;-0,357;
09/08/2018;-0,357;
08/08/2018;-0,357;
07/08/2018;-0,356;
06/08/2018;-0,361;
03/08/2018;-0,355;
02/08/2018;-0,358;
01/08/2018;-0,358;
31/07/2018;-0,358;-0,364
30/07/2018;-0,363;
27/07/2018;-0,366;
26/07/2018;-0,366;
25/07/2018;-0,365;
24/07/2018;-0,366;
23/07/2018;-0,366;
20/07/2018;-0,367;
19/07/2018;-0,366;
18/07/2018;-0,366;
17/07/2018;-0,365;
16/07/2018;-0,364;
13/07/2018;-0,362;
12/07/2018;-0,363;
11/07/2018;-0,362;
10/07/2018;-0,362;
09/07/2018;-0,361;
06/07/2018;-0,362;
05/07/2018;-0,361;
04/07/2018;-0,363;
03/07/2018;-0,364;
02/07/2018;-0,361;
29/06/2018;-0,358;-0,362
28/06/2018;-0,366;
27/06/2018;-0,368;
26/06/2018;-0,364;
25/06/2018;-0,363;
22/06/2018;-0,364;
21/06/2018;-0,365;
20/06/2018;-0,364;
19/06/2018;-0,363;
18/06/2018;-0,365;
15/06/2018;-0,365;
14/06/2018;-0,364;
13/06/2018;-0,362;
12/06/2018;-0,362;
11/06/2018;-0,36;
08/06/2018;-0,357;
07/06/2018;-0,356;
06/06/2018;-0,357;
05/06/2018;-0,36;
04/06/2018;-0,356;
01/06/2018;-0,358;
31/05/2018;-0,353;-0,362
30/05/2018;-0,357;
29/05/2018;-0,363;
28/05/2018;-0,367;
25/05/2018;-0,366;
24/05/2018;-0,364;
23/05/2018;-0,365;
22/05/2018;-0,364;
21/05/2018;-0,366;
18/05/2018;-0,371;
17/05/2018;-0,365;
16/05/2018;-0,369;
15/05/2018;-0,361;
14/05/2018;-0,36;
11/05/2018;-0,361;
10/05/2018;-0,361;
09/05/2018;-0,359;
08/05/2018;-0,363;
07/05/2018;-0,363;
04/05/2018;-0,36;
03/05/2018;-0,359;
02/05/2018;-0,358;
30/04/2018;-0,355;-0,366
27/04/2018;-0,367;
26/04/2018;-0,367;
25/04/2018;-0,366;
24/04/2018;-0,367;
23/04/2018;-0,368;
20/04/2018;-0,368;
19/04/2018;-0,368;
18/04/2018;-0,368;
17/04/2018;-0,368;
16/04/2018;-0,367;
13/04/2018;-0,364;
12/04/2018;-0,364;
11/04/2018;-0,365;
10/04/2018;-0,366;
09/04/2018;-0,366;
06/04/2018;-0,368;
05/04/2018;-0,367;
04/04/2018;-0,363;
03/04/2018;-0,362;
29/03/2018;-0,348;-0,364
28/03/2018;-0,365;
27/03/2018;-0,368;
26/03/2018;-0,367;
23/03/2018;-0,366;
22/03/2018;-0,368;
21/03/2018;-0,367;
20/03/2018;-0,368;
19/03/2018;-0,368;
16/03/2018;-0,366;
15/03/2018;-0,366;
14/03/2018;-0,363;
13/03/2018;-0,364;
12/03/2018;-0,363;
09/03/2018;-0,361;
08/03/2018;-0,361;
07/03/2018;-0,363;
06/03/2018;-0,365;
05/03/2018;-0,362;
02/03/2018;-0,362;
01/03/2018;-0,361;
28/02/2018;-0,351;-0,365
27/02/2018;-0,361;
26/02/2018;-0,37;
23/02/2018;-0,368;
22/02/2018;-0,369;
21/02/2018;-0,368;
20/02/2018;-0,369;
19/02/2018;-0,368;
16/02/2018;-0,366;
15/02/2018;-0,363;
14/02/2018;-0,364;
13/02/2018;-0,362;
12/02/2018;-0,363;
09/02/2018;-0,365;
08/02/2018;-0,363;
07/02/2018;-0,365;
06/02/2018;-0,367;
05/02/2018;-0,366;
02/02/2018;-0,363;
01/02/2018;-0,363;
31/01/2018;-0,355;-0,362
30/01/2018;-0,361;
29/01/2018;-0,363;
26/01/2018;-0,364;
25/01/2018;-0,363;
24/01/2018;-0,363;
23/01/2018;-0,363;
22/01/2018;-0,363;
19/01/2018;-0,362;
18/01/2018;-0,37;
17/01/2018;-0,363;
16/01/2018;-0,37;
15/01/2018;-0,369;
12/01/2018;-0,359;
11/01/2018;-0,36;
10/01/2018;-0,37;
09/01/2018;-0,358;
08/01/2018;-0,357;
05/01/2018;-0,357;
04/01/2018;-0,356;
03/01/2018;-0,356;
02/01/2018;-0,37;
29/12/2017;-0,346;-0,342
28/12/2017;-0,355;
27/12/2017;-0,357;
22/12/2017;-0,353;
21/12/2017;-0,353;
20/12/2017;-0,355;
19/12/2017;-0,35;
18/12/2017;-0,358;
15/12/2017;-0,363;
14/12/2017;-0,362;
13/12/2017;-0,36;
12/12/2017;-0,345;
11/12/2017;-0,33;
08/12/2017;-0,329;
07/12/2017;-0,327;
06/12/2017;-0,326;
05/12/2017;-0,324;
04/12/2017;-0,319;
01/12/2017;-0,291;
30/11/2017;-0,241;-0,349
29/11/2017;-0,301;
28/11/2017;-0,362;
27/11/2017;-0,365;
24/11/2017;-0,359;
23/11/2017;-0,359;
22/11/2017;-0,358;
21/11/2017;-0,359;
