portfolio,cov
"['DUK US Equity', 'MO US Equity', 'DTE US Equity', 'HSY US Equity']","[[15.09230655  5.38190606 12.00045256  6.92183195]
 [ 5.38190606 29.16115716  6.33423752  9.82905636]
 [12.00045256  6.33423752 14.83958778  8.11705738]
 [ 6.92183195  9.82905636  8.11705738 24.23853542]]"
"['HES US Equity', 'TGT US Equity', 'DTE US Equity', 'HSY US Equity', 'WEC US Equity']","[[100.41903311  16.11690723   4.50376371  -2.64575329  -0.27758322]
 [ 16.11690723  43.5782631   -0.48547121   1.54710836   1.06769617]
 [  4.50376371  -0.48547121  14.83958778   8.11705738  13.85501748]
 [ -2.64575329   1.54710836   8.11705738  24.23853542   8.16399132]
 [ -0.27758322   1.06769617  13.85501748   8.16399132  18.95565239]]"
"['EXC US Equity', 'MO US Equity']","[[25.89215886  4.59793345]
 [ 4.59793345 29.16115716]]"
"['HES US Equity', 'EXC US Equity', 'TGT US Equity', 'PPL US Equity', 'MO US Equity']","[[100.41903311  10.86155027  16.11690723   7.35340175   6.72056771]
 [ 10.86155027  25.89215886   2.72806342  11.71174001   4.59793345]
 [ 16.11690723   2.72806342  43.5782631    0.55155332   3.46409467]
 [  7.35340175  11.71174001   0.55155332  19.51266423   6.70958138]
 [  6.72056771   4.59793345   3.46409467   6.70958138  29.16115716]]"
"['KMB US Equity', 'MO US Equity', 'WELL US Equity', 'WEC US Equity']","[[18.98891434  7.69898443  8.7765816   8.30634734]
 [ 7.69898443 29.16115716  4.75605577  5.64387931]
 [ 8.7765816   4.75605577 30.47520004 13.81643924]
 [ 8.30634734  5.64387931 13.81643924 18.95565239]]"
"['EXC US Equity', 'DUK US Equity', 'PPL US Equity', 'HSY US Equity', 'WELL US Equity']","[[25.89215886 11.83651989 11.71174001  4.54078826 12.30757996]
 [11.83651989 15.09230655  9.14826341  6.92183195 10.88876835]
 [11.71174001  9.14826341 19.51266423  1.80784233  9.22128191]
 [ 4.54078826  6.92183195  1.80784233 24.23853542  8.49867145]
 [12.30757996 10.88876835  9.22128191  8.49867145 30.47520004]]"
"['HES US Equity', 'EXC US Equity', 'TGT US Equity', 'PPL US Equity']","[[100.41903311  10.86155027  16.11690723   7.35340175]
 [ 10.86155027  25.89215886   2.72806342  11.71174001]
 [ 16.11690723   2.72806342  43.5782631    0.55155332]
 [  7.35340175  11.71174001   0.55155332  19.51266423]]"
"['HSY US Equity', 'WEC US Equity']","[[24.23853542  8.16399132]
 [ 8.16399132 18.95565239]]"
"['EXC US Equity', 'TGT US Equity', 'HSY US Equity', 'WEC US Equity']","[[25.89215886  2.72806342  4.54078826 12.97943216]
 [ 2.72806342 43.5782631   1.54710836  1.06769617]
 [ 4.54078826  1.54710836 24.23853542  8.16399132]
 [12.97943216  1.06769617  8.16399132 18.95565239]]"
"['HES US Equity', 'EXC US Equity', 'DUK US Equity', 'DTE US Equity']","[[100.41903311  10.86155027  -0.49640514   4.50376371]
 [ 10.86155027  25.89215886  11.83651989  11.93496076]
 [ -0.49640514  11.83651989  15.09230655  12.00045256]
 [  4.50376371  11.93496076  12.00045256  14.83958778]]"
"['DUK US Equity', 'PPL US Equity', 'HSY US Equity', 'WELL US Equity', 'WEC US Equity']","[[15.09230655  9.14826341  6.92183195 10.88876835 13.99886178]
 [ 9.14826341 19.51266423  1.80784233  9.22128191  9.27362243]
 [ 6.92183195  1.80784233 24.23853542  8.49867145  8.16399132]
 [10.88876835  9.22128191  8.49867145 30.47520004 13.81643924]
 [13.99886178  9.27362243  8.16399132 13.81643924 18.95565239]]"
"['TGT US Equity', 'HSY US Equity', 'WELL US Equity', 'WEC US Equity']","[[43.5782631   1.54710836  0.67687823  1.06769617]
 [ 1.54710836 24.23853542  8.49867145  8.16399132]
 [ 0.67687823  8.49867145 30.47520004 13.81643924]
 [ 1.06769617  8.16399132 13.81643924 18.95565239]]"
"['HES US Equity', 'KMB US Equity', 'DUK US Equity', 'PPL US Equity', 'WEC US Equity']","[[100.41903311   0.35765881  -0.49640514   7.35340175  -0.27758322]
 [  0.35765881  18.98891434   8.44756961   6.79175117   8.30634734]
 [ -0.49640514   8.44756961  15.09230655   9.14826341  13.99886178]
 [  7.35340175   6.79175117   9.14826341  19.51266423   9.27362243]
 [ -0.27758322   8.30634734  13.99886178   9.27362243  18.95565239]]"
"['EXC US Equity', 'KMB US Equity', 'TGT US Equity', 'DUK US Equity', 'WELL US Equity']","[[ 2.58921589e+01  6.47096926e+00  2.72806342e+00  1.18365199e+01
   1.23075800e+01]
 [ 6.47096926e+00  1.89889143e+01  8.93653031e-03  8.44756961e+00
   8.77658160e+00]
 [ 2.72806342e+00  8.93653031e-03  4.35782631e+01 -2.28759833e+00
   6.76878231e-01]
 [ 1.18365199e+01  8.44756961e+00 -2.28759833e+00  1.50923065e+01
   1.08887684e+01]
 [ 1.23075800e+01  8.77658160e+00  6.76878231e-01  1.08887684e+01
   3.04752000e+01]]"
"['KMB US Equity', 'TGT US Equity', 'MO US Equity', 'WEC US Equity']","[[1.89889143e+01 8.93653031e-03 7.69898443e+00 8.30634734e+00]
 [8.93653031e-03 4.35782631e+01 3.46409467e+00 1.06769617e+00]
 [7.69898443e+00 3.46409467e+00 2.91611572e+01 5.64387931e+00]
 [8.30634734e+00 1.06769617e+00 5.64387931e+00 1.89556524e+01]]"
"['DUK US Equity', 'WELL US Equity', 'WEC US Equity']","[[15.09230655 10.88876835 13.99886178]
 [10.88876835 30.47520004 13.81643924]
 [13.99886178 13.81643924 18.95565239]]"
"['HES US Equity', 'EXC US Equity', 'TGT US Equity', 'HSY US Equity']","[[100.41903311  10.86155027  16.11690723  -2.64575329]
 [ 10.86155027  25.89215886   2.72806342   4.54078826]
 [ 16.11690723   2.72806342  43.5782631    1.54710836]
 [ -2.64575329   4.54078826   1.54710836  24.23853542]]"
"['EXC US Equity', 'KMB US Equity', 'DUK US Equity', 'PPL US Equity', 'DTE US Equity']","[[25.89215886  6.47096926 11.83651989 11.71174001 11.93496076]
 [ 6.47096926 18.98891434  8.44756961  6.79175117  7.58649282]
 [11.83651989  8.44756961 15.09230655  9.14826341 12.00045256]
 [11.71174001  6.79175117  9.14826341 19.51266423  9.18255513]
 [11.93496076  7.58649282 12.00045256  9.18255513 14.83958778]]"
"['MO US Equity', 'DTE US Equity', 'HSY US Equity']","[[29.16115716  6.33423752  9.82905636]
 [ 6.33423752 14.83958778  8.11705738]
 [ 9.82905636  8.11705738 24.23853542]]"
"['EXC US Equity', 'DTE US Equity', 'HSY US Equity', 'WELL US Equity']","[[25.89215886 11.93496076  4.54078826 12.30757996]
 [11.93496076 14.83958778  8.11705738 12.12349466]
 [ 4.54078826  8.11705738 24.23853542  8.49867145]
 [12.30757996 12.12349466  8.49867145 30.47520004]]"
"['TGT US Equity', 'PPL US Equity', 'WEC US Equity']","[[43.5782631   0.55155332  1.06769617]
 [ 0.55155332 19.51266423  9.27362243]
 [ 1.06769617  9.27362243 18.95565239]]"
"['HES US Equity', 'DUK US Equity', 'MO US Equity', 'WELL US Equity']","[[100.41903311  -0.49640514   6.72056771   4.09955939]
 [ -0.49640514  15.09230655   5.38190606  10.88876835]
 [  6.72056771   5.38190606  29.16115716   4.75605577]
 [  4.09955939  10.88876835   4.75605577  30.47520004]]"
"['HES US Equity', 'DTE US Equity', 'WELL US Equity', 'WEC US Equity']","[[100.41903311   4.50376371   4.09955939  -0.27758322]
 [  4.50376371  14.83958778  12.12349466  13.85501748]
 [  4.09955939  12.12349466  30.47520004  13.81643924]
 [ -0.27758322  13.85501748  13.81643924  18.95565239]]"
