portfolio,cov
"['F US Equity', 'NEM US Equity', 'DUK US Equity', 'PPL US Equity', 'WEC US Equity']","[[ 60.12884092  -0.64314394  -0.4362186    2.76490375  -0.13859971]
 [ -0.64314394 103.03759492   2.20664854  -2.40971396   1.7655769 ]
 [ -0.4362186    2.20664854  15.09230655   9.14826341  13.99886178]
 [  2.76490375  -2.40971396   9.14826341  19.51266423   9.27362243]
 [ -0.13859971   1.7655769   13.99886178   9.27362243  18.95565239]]"
"['NEM US Equity', 'KMB US Equity', 'PPL US Equity', 'ABT US Equity', 'WELL US Equity']","[[103.03759492  -5.73200752  -2.40971396   2.29416432  -0.94065873]
 [ -5.73200752  18.98891434   6.79175117   8.68989909   8.7765816 ]
 [ -2.40971396   6.79175117  19.51266423   5.56063142   9.22128191]
 [  2.29416432   8.68989909   5.56063142  24.77505784   6.26345459]
 [ -0.94065873   8.7765816    9.22128191   6.26345459  30.47520004]]"
"['DTE US Equity', 'HSY US Equity']","[[14.83958778  8.11705738]
 [ 8.11705738 24.23853542]]"
"['DUK US Equity', 'MO US Equity', 'ABT US Equity', 'DTE US Equity', 'WELL US Equity']","[[15.09230655  5.38190606  4.08434053 12.00045256 10.88876835]
 [ 5.38190606 29.16115716  8.11236787  6.33423752  4.75605577]
 [ 4.08434053  8.11236787 24.77505784  3.62423425  6.26345459]
 [12.00045256  6.33423752  3.62423425 14.83958778 12.12349466]
 [10.88876835  4.75605577  6.26345459 12.12349466 30.47520004]]"
"['DUK US Equity', 'T US Equity', 'PPL US Equity', 'WELL US Equity']","[[15.09230655  4.90012192  9.14826341 10.88876835]
 [ 4.90012192 20.81009143  4.06848305  6.51666351]
 [ 9.14826341  4.06848305 19.51266423  9.22128191]
 [10.88876835  6.51666351  9.22128191 30.47520004]]"
"['KMB US Equity', 'MO US Equity', 'ABT US Equity']","[[18.98891434  7.69898443  8.68989909]
 [ 7.69898443 29.16115716  8.11236787]
 [ 8.68989909  8.11236787 24.77505784]]"
"['EXC US Equity', 'MO US Equity', 'DTE US Equity', 'HSY US Equity']","[[25.89215886  4.59793345 11.93496076  4.54078826]
 [ 4.59793345 29.16115716  6.33423752  9.82905636]
 [11.93496076  6.33423752 14.83958778  8.11705738]
 [ 4.54078826  9.82905636  8.11705738 24.23853542]]"
"['F US Equity', 'KMB US Equity', 'DUK US Equity']","[[60.12884092 -1.02208325 -0.4362186 ]
 [-1.02208325 18.98891434  8.44756961]
 [-0.4362186   8.44756961 15.09230655]]"
"['NEM US Equity', 'KMB US Equity', 'BAX US Equity', 'PPL US Equity']","[[103.03759492  -5.73200752   7.46429102  -2.40971396]
 [ -5.73200752  18.98891434   6.38563303   6.79175117]
 [  7.46429102   6.38563303  34.52299909   6.09919756]
 [ -2.40971396   6.79175117   6.09919756  19.51266423]]"
"['BAX US Equity', 'PPL US Equity', 'MO US Equity', 'ABT US Equity', 'WEC US Equity']","[[34.52299909  6.09919756  3.14112548 14.39771418  0.72070333]
 [ 6.09919756 19.51266423  6.70958138  5.56063142  9.27362243]
 [ 3.14112548  6.70958138 29.16115716  8.11236787  5.64387931]
 [14.39771418  5.56063142  8.11236787 24.77505784  2.63410506]
 [ 0.72070333  9.27362243  5.64387931  2.63410506 18.95565239]]"
"['TGT US Equity', 'MO US Equity', 'ABT US Equity', 'WEC US Equity']","[[43.5782631   3.46409467  5.19269506  1.06769617]
 [ 3.46409467 29.16115716  8.11236787  5.64387931]
 [ 5.19269506  8.11236787 24.77505784  2.63410506]
 [ 1.06769617  5.64387931  2.63410506 18.95565239]]"
"['F US Equity', 'DUK US Equity', 'PPL US Equity', 'MO US Equity']","[[60.12884092 -0.4362186   2.76490375  3.58207561]
 [-0.4362186  15.09230655  9.14826341  5.38190606]
 [ 2.76490375  9.14826341 19.51266423  6.70958138]
 [ 3.58207561  5.38190606  6.70958138 29.16115716]]"
"['KMB US Equity', 'DUK US Equity', 'PPL US Equity', 'DTE US Equity', 'WELL US Equity']","[[18.98891434  8.44756961  6.79175117  7.58649282  8.7765816 ]
 [ 8.44756961 15.09230655  9.14826341 12.00045256 10.88876835]
 [ 6.79175117  9.14826341 19.51266423  9.18255513  9.22128191]
 [ 7.58649282 12.00045256  9.18255513 14.83958778 12.12349466]
 [ 8.7765816  10.88876835  9.22128191 12.12349466 30.47520004]]"
"['BAX US Equity', 'T US Equity', 'ABT US Equity', 'HSY US Equity', 'WELL US Equity']","[[34.52299909  6.08540732 14.39771418  0.70200443  5.71196003]
 [ 6.08540732 20.81009143  7.76004986  4.8968044   6.51666351]
 [14.39771418  7.76004986 24.77505784  3.96903426  6.26345459]
 [ 0.70200443  4.8968044   3.96903426 24.23853542  8.49867145]
 [ 5.71196003  6.51666351  6.26345459  8.49867145 30.47520004]]"
"['KMB US Equity', 'BAX US Equity', 'DUK US Equity', 'PPL US Equity', 'MO US Equity']","[[18.98891434  6.38563303  8.44756961  6.79175117  7.69898443]
 [ 6.38563303 34.52299909  1.68159096  6.09919756  3.14112548]
 [ 8.44756961  1.68159096 15.09230655  9.14826341  5.38190606]
 [ 6.79175117  6.09919756  9.14826341 19.51266423  6.70958138]
 [ 7.69898443  3.14112548  5.38190606  6.70958138 29.16115716]]"
"['TGT US Equity', 'PPL US Equity', 'MO US Equity', 'ABT US Equity']","[[43.5782631   0.55155332  3.46409467  5.19269506]
 [ 0.55155332 19.51266423  6.70958138  5.56063142]
 [ 3.46409467  6.70958138 29.16115716  8.11236787]
 [ 5.19269506  5.56063142  8.11236787 24.77505784]]"
"['F US Equity', 'NEM US Equity', 'EXC US Equity', 'ABT US Equity']","[[ 60.12884092  -0.64314394   2.10823493   7.97174775]
 [ -0.64314394 103.03759492   2.41496056   2.29416432]
 [  2.10823493   2.41496056  25.89215886   4.8967833 ]
 [  7.97174775   2.29416432   4.8967833   24.77505784]]"
"['BAX US Equity', 'TGT US Equity', 'DUK US Equity', 'MO US Equity', 'ABT US Equity']","[[34.52299909  6.28670867  1.68159096  3.14112548 14.39771418]
 [ 6.28670867 43.5782631  -2.28759833  3.46409467  5.19269506]
 [ 1.68159096 -2.28759833 15.09230655  5.38190606  4.08434053]
 [ 3.14112548  3.46409467  5.38190606 29.16115716  8.11236787]
 [14.39771418  5.19269506  4.08434053  8.11236787 24.77505784]]"
"['BAX US Equity', 'T US Equity', 'PPL US Equity', 'MO US Equity', 'ABT US Equity']","[[34.52299909  6.08540732  6.09919756  3.14112548 14.39771418]
 [ 6.08540732 20.81009143  4.06848305  8.69786152  7.76004986]
 [ 6.09919756  4.06848305 19.51266423  6.70958138  5.56063142]
 [ 3.14112548  8.69786152  6.70958138 29.16115716  8.11236787]
 [14.39771418  7.76004986  5.56063142  8.11236787 24.77505784]]"
"['KMB US Equity', 'TGT US Equity', 'PPL US Equity', 'WEC US Equity']","[[1.89889143e+01 8.93653031e-03 6.79175117e+00 8.30634734e+00]
 [8.93653031e-03 4.35782631e+01 5.51553324e-01 1.06769617e+00]
 [6.79175117e+00 5.51553324e-01 1.95126642e+01 9.27362243e+00]
 [8.30634734e+00 1.06769617e+00 9.27362243e+00 1.89556524e+01]]"
"['NEM US Equity', 'KMB US Equity', 'MO US Equity', 'WEC US Equity']","[[ 1.03037595e+02 -5.73200752e+00 -7.12359198e-02  1.76557690e+00]
 [-5.73200752e+00  1.89889143e+01  7.69898443e+00  8.30634734e+00]
 [-7.12359198e-02  7.69898443e+00  2.91611572e+01  5.64387931e+00]
 [ 1.76557690e+00  8.30634734e+00  5.64387931e+00  1.89556524e+01]]"
"['NEM US Equity', 'KMB US Equity', 'PPL US Equity', 'DTE US Equity']","[[103.03759492  -5.73200752  -2.40971396   1.27988372]
 [ -5.73200752  18.98891434   6.79175117   7.58649282]
 [ -2.40971396   6.79175117  19.51266423   9.18255513]
 [  1.27988372   7.58649282   9.18255513  14.83958778]]"
"['NEM US Equity', 'KMB US Equity', 'BAX US Equity', 'T US Equity', 'WEC US Equity']","[[103.03759492  -5.73200752   7.46429102   6.29184021   1.7655769 ]
 [ -5.73200752  18.98891434   6.38563303   8.99086179   8.30634734]
 [  7.46429102   6.38563303  34.52299909   6.08540732   0.72070333]
 [  6.29184021   8.99086179   6.08540732  20.81009143   5.11205962]
 [  1.7655769    8.30634734   0.72070333   5.11205962  18.95565239]]"
"['EXC US Equity', 'TGT US Equity', 'HSY US Equity', 'WELL US Equity']","[[25.89215886  2.72806342  4.54078826 12.30757996]
 [ 2.72806342 43.5782631   1.54710836  0.67687823]
 [ 4.54078826  1.54710836 24.23853542  8.49867145]
 [12.30757996  0.67687823  8.49867145 30.47520004]]"
"['NEM US Equity', 'TGT US Equity', 'DUK US Equity', 'T US Equity', 'PPL US Equity']","[[103.03759492   2.98316666   2.20664854   6.29184021  -2.40971396]
 [  2.98316666  43.5782631   -2.28759833   4.9351621    0.55155332]
 [  2.20664854  -2.28759833  15.09230655   4.90012192   9.14826341]
 [  6.29184021   4.9351621    4.90012192  20.81009143   4.06848305]
 [ -2.40971396   0.55155332   9.14826341   4.06848305  19.51266423]]"
"['NEM US Equity', 'EXC US Equity', 'KMB US Equity', 'ABT US Equity', 'HSY US Equity']","[[103.03759492   2.41496056  -5.73200752   2.29416432   2.19901409]
 [  2.41496056  25.89215886   6.47096926   4.8967833    4.54078826]
 [ -5.73200752   6.47096926  18.98891434   8.68989909   8.82716934]
 [  2.29416432   4.8967833    8.68989909  24.77505784   3.96903426]
 [  2.19901409   4.54078826   8.82716934   3.96903426  24.23853542]]"
"['T US Equity', 'ABT US Equity', 'DTE US Equity', 'HSY US Equity', 'WELL US Equity']","[[20.81009143  7.76004986  5.61924737  4.8968044   6.51666351]
 [ 7.76004986 24.77505784  3.62423425  3.96903426  6.26345459]
 [ 5.61924737  3.62423425 14.83958778  8.11705738 12.12349466]
 [ 4.8968044   3.96903426  8.11705738 24.23853542  8.49867145]
 [ 6.51666351  6.26345459 12.12349466  8.49867145 30.47520004]]"
"['F US Equity', 'EXC US Equity', 'MO US Equity', 'HSY US Equity']","[[60.12884092  2.10823493  3.58207561 -2.19611815]
 [ 2.10823493 25.89215886  4.59793345  4.54078826]
 [ 3.58207561  4.59793345 29.16115716  9.82905636]
 [-2.19611815  4.54078826  9.82905636 24.23853542]]"
"['NEM US Equity', 'EXC US Equity', 'DUK US Equity']","[[103.03759492   2.41496056   2.20664854]
 [  2.41496056  25.89215886  11.83651989]
 [  2.20664854  11.83651989  15.09230655]]"
"['NEM US Equity', 'EXC US Equity', 'DTE US Equity', 'HSY US Equity']","[[103.03759492   2.41496056   1.27988372   2.19901409]
 [  2.41496056  25.89215886  11.93496076   4.54078826]
 [  1.27988372  11.93496076  14.83958778   8.11705738]
 [  2.19901409   4.54078826   8.11705738  24.23853542]]"
"['EXC US Equity', 'T US Equity', 'MO US Equity', 'HSY US Equity', 'WEC US Equity']","[[25.89215886  6.27166154  4.59793345  4.54078826 12.97943216]
 [ 6.27166154 20.81009143  8.69786152  4.8968044   5.11205962]
 [ 4.59793345  8.69786152 29.16115716  9.82905636  5.64387931]
 [ 4.54078826  4.8968044   9.82905636 24.23853542  8.16399132]
 [12.97943216  5.11205962  5.64387931  8.16399132 18.95565239]]"
"['DUK US Equity', 'T US Equity', 'MO US Equity', 'DTE US Equity', 'WEC US Equity']","[[15.09230655  4.90012192  5.38190606 12.00045256 13.99886178]
 [ 4.90012192 20.81009143  8.69786152  5.61924737  5.11205962]
 [ 5.38190606  8.69786152 29.16115716  6.33423752  5.64387931]
 [12.00045256  5.61924737  6.33423752 14.83958778 13.85501748]
 [13.99886178  5.11205962  5.64387931 13.85501748 18.95565239]]"
"['F US Equity', 'BAX US Equity', 'T US Equity', 'PPL US Equity', 'DTE US Equity']","[[60.12884092 11.36110434  4.29453088  2.76490375  1.64816784]
 [11.36110434 34.52299909  6.08540732  6.09919756  1.83277625]
 [ 4.29453088  6.08540732 20.81009143  4.06848305  5.61924737]
 [ 2.76490375  6.09919756  4.06848305 19.51266423  9.18255513]
 [ 1.64816784  1.83277625  5.61924737  9.18255513 14.83958778]]"
"['NEM US Equity', 'KMB US Equity', 'DUK US Equity', 'PPL US Equity', 'WELL US Equity']","[[103.03759492  -5.73200752   2.20664854  -2.40971396  -0.94065873]
 [ -5.73200752  18.98891434   8.44756961   6.79175117   8.7765816 ]
 [  2.20664854   8.44756961  15.09230655   9.14826341  10.88876835]
 [ -2.40971396   6.79175117   9.14826341  19.51266423   9.22128191]
 [ -0.94065873   8.7765816   10.88876835   9.22128191  30.47520004]]"
"['KMB US Equity', 'BAX US Equity', 'DUK US Equity', 'T US Equity', 'DTE US Equity']","[[18.98891434  6.38563303  8.44756961  8.99086179  7.58649282]
 [ 6.38563303 34.52299909  1.68159096  6.08540732  1.83277625]
 [ 8.44756961  1.68159096 15.09230655  4.90012192 12.00045256]
 [ 8.99086179  6.08540732  4.90012192 20.81009143  5.61924737]
 [ 7.58649282  1.83277625 12.00045256  5.61924737 14.83958778]]"
"['KMB US Equity', 'DUK US Equity', 'PPL US Equity', 'ABT US Equity', 'DTE US Equity']","[[18.98891434  8.44756961  6.79175117  8.68989909  7.58649282]
 [ 8.44756961 15.09230655  9.14826341  4.08434053 12.00045256]
 [ 6.79175117  9.14826341 19.51266423  5.56063142  9.18255513]
 [ 8.68989909  4.08434053  5.56063142 24.77505784  3.62423425]
 [ 7.58649282 12.00045256  9.18255513  3.62423425 14.83958778]]"
"['NEM US Equity', 'DUK US Equity', 'PPL US Equity', 'ABT US Equity', 'DTE US Equity']","[[103.03759492   2.20664854  -2.40971396   2.29416432   1.27988372]
 [  2.20664854  15.09230655   9.14826341   4.08434053  12.00045256]
 [ -2.40971396   9.14826341  19.51266423   5.56063142   9.18255513]
 [  2.29416432   4.08434053   5.56063142  24.77505784   3.62423425]
 [  1.27988372  12.00045256   9.18255513   3.62423425  14.83958778]]"
"['EXC US Equity', 'DUK US Equity', 'T US Equity', 'MO US Equity', 'ABT US Equity']","[[25.89215886 11.83651989  6.27166154  4.59793345  4.8967833 ]
 [11.83651989 15.09230655  4.90012192  5.38190606  4.08434053]
 [ 6.27166154  4.90012192 20.81009143  8.69786152  7.76004986]
 [ 4.59793345  5.38190606  8.69786152 29.16115716  8.11236787]
 [ 4.8967833   4.08434053  7.76004986  8.11236787 24.77505784]]"
"['NEM US Equity', 'EXC US Equity', 'KMB US Equity', 'PPL US Equity', 'WELL US Equity']","[[103.03759492   2.41496056  -5.73200752  -2.40971396  -0.94065873]
 [  2.41496056  25.89215886   6.47096926  11.71174001  12.30757996]
 [ -5.73200752   6.47096926  18.98891434   6.79175117   8.7765816 ]
 [ -2.40971396  11.71174001   6.79175117  19.51266423   9.22128191]
 [ -0.94065873  12.30757996   8.7765816    9.22128191  30.47520004]]"
"['NEM US Equity', 'T US Equity', 'MO US Equity', 'ABT US Equity', 'WELL US Equity']","[[ 1.03037595e+02  6.29184021e+00 -7.12359198e-02  2.29416432e+00
  -9.40658734e-01]
 [ 6.29184021e+00  2.08100914e+01  8.69786152e+00  7.76004986e+00
   6.51666351e+00]
 [-7.12359198e-02  8.69786152e+00  2.91611572e+01  8.11236787e+00
   4.75605577e+00]
 [ 2.29416432e+00  7.76004986e+00  8.11236787e+00  2.47750578e+01
   6.26345459e+00]
 [-9.40658734e-01  6.51666351e+00  4.75605577e+00  6.26345459e+00
   3.04752000e+01]]"
"['TGT US Equity', 'DUK US Equity', 'DTE US Equity', 'HSY US Equity', 'WEC US Equity']","[[43.5782631  -2.28759833 -0.48547121  1.54710836  1.06769617]
 [-2.28759833 15.09230655 12.00045256  6.92183195 13.99886178]
 [-0.48547121 12.00045256 14.83958778  8.11705738 13.85501748]
 [ 1.54710836  6.92183195  8.11705738 24.23853542  8.16399132]
 [ 1.06769617 13.99886178 13.85501748  8.16399132 18.95565239]]"
"['F US Equity', 'BAX US Equity', 'TGT US Equity', 'PPL US Equity', 'WEC US Equity']","[[60.12884092 11.36110434 10.70107509  2.76490375 -0.13859971]
 [11.36110434 34.52299909  6.28670867  6.09919756  0.72070333]
 [10.70107509  6.28670867 43.5782631   0.55155332  1.06769617]
 [ 2.76490375  6.09919756  0.55155332 19.51266423  9.27362243]
 [-0.13859971  0.72070333  1.06769617  9.27362243 18.95565239]]"
"['KMB US Equity', 'BAX US Equity', 'TGT US Equity', 'DUK US Equity']","[[ 1.89889143e+01  6.38563303e+00  8.93653031e-03  8.44756961e+00]
 [ 6.38563303e+00  3.45229991e+01  6.28670867e+00  1.68159096e+00]
 [ 8.93653031e-03  6.28670867e+00  4.35782631e+01 -2.28759833e+00]
 [ 8.44756961e+00  1.68159096e+00 -2.28759833e+00  1.50923065e+01]]"
"['KMB US Equity', 'TGT US Equity', 'PPL US Equity', 'ABT US Equity', 'HSY US Equity']","[[1.89889143e+01 8.93653031e-03 6.79175117e+00 8.68989909e+00
  8.82716934e+00]
 [8.93653031e-03 4.35782631e+01 5.51553324e-01 5.19269506e+00
  1.54710836e+00]
 [6.79175117e+00 5.51553324e-01 1.95126642e+01 5.56063142e+00
  1.80784233e+00]
 [8.68989909e+00 5.19269506e+00 5.56063142e+00 2.47750578e+01
  3.96903426e+00]
 [8.82716934e+00 1.54710836e+00 1.80784233e+00 3.96903426e+00
  2.42385354e+01]]"
"['NEM US Equity', 'EXC US Equity', 'MO US Equity', 'DTE US Equity', 'WEC US Equity']","[[ 1.03037595e+02  2.41496056e+00 -7.12359198e-02  1.27988372e+00
   1.76557690e+00]
 [ 2.41496056e+00  2.58921589e+01  4.59793345e+00  1.19349608e+01
   1.29794322e+01]
 [-7.12359198e-02  4.59793345e+00  2.91611572e+01  6.33423752e+00
   5.64387931e+00]
 [ 1.27988372e+00  1.19349608e+01  6.33423752e+00  1.48395878e+01
   1.38550175e+01]
 [ 1.76557690e+00  1.29794322e+01  5.64387931e+00  1.38550175e+01
   1.89556524e+01]]"
"['F US Equity', 'DUK US Equity', 'PPL US Equity', 'ABT US Equity', 'DTE US Equity']","[[60.12884092 -0.4362186   2.76490375  7.97174775  1.64816784]
 [-0.4362186  15.09230655  9.14826341  4.08434053 12.00045256]
 [ 2.76490375  9.14826341 19.51266423  5.56063142  9.18255513]
 [ 7.97174775  4.08434053  5.56063142 24.77505784  3.62423425]
 [ 1.64816784 12.00045256  9.18255513  3.62423425 14.83958778]]"
"['TGT US Equity', 'MO US Equity', 'ABT US Equity', 'DTE US Equity']","[[43.5782631   3.46409467  5.19269506 -0.48547121]
 [ 3.46409467 29.16115716  8.11236787  6.33423752]
 [ 5.19269506  8.11236787 24.77505784  3.62423425]
 [-0.48547121  6.33423752  3.62423425 14.83958778]]"
"['F US Equity', 'BAX US Equity', 'TGT US Equity']","[[60.12884092 11.36110434 10.70107509]
 [11.36110434 34.52299909  6.28670867]
 [10.70107509  6.28670867 43.5782631 ]]"
"['BAX US Equity', 'DUK US Equity', 'T US Equity', 'WELL US Equity', 'WEC US Equity']","[[34.52299909  1.68159096  6.08540732  5.71196003  0.72070333]
 [ 1.68159096 15.09230655  4.90012192 10.88876835 13.99886178]
 [ 6.08540732  4.90012192 20.81009143  6.51666351  5.11205962]
 [ 5.71196003 10.88876835  6.51666351 30.47520004 13.81643924]
 [ 0.72070333 13.99886178  5.11205962 13.81643924 18.95565239]]"
"['F US Equity', 'DUK US Equity', 'PPL US Equity', 'HSY US Equity']","[[60.12884092 -0.4362186   2.76490375 -2.19611815]
 [-0.4362186  15.09230655  9.14826341  6.92183195]
 [ 2.76490375  9.14826341 19.51266423  1.80784233]
 [-2.19611815  6.92183195  1.80784233 24.23853542]]"
"['NEM US Equity', 'KMB US Equity', 'PPL US Equity', 'MO US Equity', 'DTE US Equity']","[[ 1.03037595e+02 -5.73200752e+00 -2.40971396e+00 -7.12359198e-02
   1.27988372e+00]
 [-5.73200752e+00  1.89889143e+01  6.79175117e+00  7.69898443e+00
   7.58649282e+00]
 [-2.40971396e+00  6.79175117e+00  1.95126642e+01  6.70958138e+00
   9.18255513e+00]
 [-7.12359198e-02  7.69898443e+00  6.70958138e+00  2.91611572e+01
   6.33423752e+00]
 [ 1.27988372e+00  7.58649282e+00  9.18255513e+00  6.33423752e+00
   1.48395878e+01]]"
"['EXC US Equity', 'TGT US Equity', 'T US Equity', 'PPL US Equity', 'WELL US Equity']","[[25.89215886  2.72806342  6.27166154 11.71174001 12.30757996]
 [ 2.72806342 43.5782631   4.9351621   0.55155332  0.67687823]
 [ 6.27166154  4.9351621  20.81009143  4.06848305  6.51666351]
 [11.71174001  0.55155332  4.06848305 19.51266423  9.22128191]
 [12.30757996  0.67687823  6.51666351  9.22128191 30.47520004]]"
"['TGT US Equity', 'T US Equity', 'MO US Equity', 'DTE US Equity', 'HSY US Equity']","[[43.5782631   4.9351621   3.46409467 -0.48547121  1.54710836]
 [ 4.9351621  20.81009143  8.69786152  5.61924737  4.8968044 ]
 [ 3.46409467  8.69786152 29.16115716  6.33423752  9.82905636]
 [-0.48547121  5.61924737  6.33423752 14.83958778  8.11705738]
 [ 1.54710836  4.8968044   9.82905636  8.11705738 24.23853542]]"
"['KMB US Equity', 'BAX US Equity', 'MO US Equity', 'DTE US Equity']","[[18.98891434  6.38563303  7.69898443  7.58649282]
 [ 6.38563303 34.52299909  3.14112548  1.83277625]
 [ 7.69898443  3.14112548 29.16115716  6.33423752]
 [ 7.58649282  1.83277625  6.33423752 14.83958778]]"
"['F US Equity', 'NEM US Equity', 'BAX US Equity', 'PPL US Equity', 'DTE US Equity']","[[ 60.12884092  -0.64314394  11.36110434   2.76490375   1.64816784]
 [ -0.64314394 103.03759492   7.46429102  -2.40971396   1.27988372]
 [ 11.36110434   7.46429102  34.52299909   6.09919756   1.83277625]
 [  2.76490375  -2.40971396   6.09919756  19.51266423   9.18255513]
 [  1.64816784   1.27988372   1.83277625   9.18255513  14.83958778]]"
"['EXC US Equity', 'KMB US Equity', 'DUK US Equity', 'PPL US Equity', 'ABT US Equity']","[[25.89215886  6.47096926 11.83651989 11.71174001  4.8967833 ]
 [ 6.47096926 18.98891434  8.44756961  6.79175117  8.68989909]
 [11.83651989  8.44756961 15.09230655  9.14826341  4.08434053]
 [11.71174001  6.79175117  9.14826341 19.51266423  5.56063142]
 [ 4.8967833   8.68989909  4.08434053  5.56063142 24.77505784]]"
"['F US Equity', 'EXC US Equity', 'MO US Equity', 'WELL US Equity', 'WEC US Equity']","[[60.12884092  2.10823493  3.58207561  7.59092693 -0.13859971]
 [ 2.10823493 25.89215886  4.59793345 12.30757996 12.97943216]
 [ 3.58207561  4.59793345 29.16115716  4.75605577  5.64387931]
 [ 7.59092693 12.30757996  4.75605577 30.47520004 13.81643924]
 [-0.13859971 12.97943216  5.64387931 13.81643924 18.95565239]]"
"['NEM US Equity', 'KMB US Equity', 'BAX US Equity', 'T US Equity', 'HSY US Equity']","[[103.03759492  -5.73200752   7.46429102   6.29184021   2.19901409]
 [ -5.73200752  18.98891434   6.38563303   8.99086179   8.82716934]
 [  7.46429102   6.38563303  34.52299909   6.08540732   0.70200443]
 [  6.29184021   8.99086179   6.08540732  20.81009143   4.8968044 ]
 [  2.19901409   8.82716934   0.70200443   4.8968044   24.23853542]]"
"['BAX US Equity', 'DUK US Equity', 'T US Equity', 'PPL US Equity', 'MO US Equity']","[[34.52299909  1.68159096  6.08540732  6.09919756  3.14112548]
 [ 1.68159096 15.09230655  4.90012192  9.14826341  5.38190606]
 [ 6.08540732  4.90012192 20.81009143  4.06848305  8.69786152]
 [ 6.09919756  9.14826341  4.06848305 19.51266423  6.70958138]
 [ 3.14112548  5.38190606  8.69786152  6.70958138 29.16115716]]"
"['EXC US Equity', 'MO US Equity', 'DTE US Equity', 'WEC US Equity']","[[25.89215886  4.59793345 11.93496076 12.97943216]
 [ 4.59793345 29.16115716  6.33423752  5.64387931]
 [11.93496076  6.33423752 14.83958778 13.85501748]
 [12.97943216  5.64387931 13.85501748 18.95565239]]"
"['PPL US Equity', 'MO US Equity', 'WELL US Equity', 'WEC US Equity']","[[19.51266423  6.70958138  9.22128191  9.27362243]
 [ 6.70958138 29.16115716  4.75605577  5.64387931]
 [ 9.22128191  4.75605577 30.47520004 13.81643924]
 [ 9.27362243  5.64387931 13.81643924 18.95565239]]"
"['BAX US Equity', 'T US Equity', 'MO US Equity', 'ABT US Equity', 'DTE US Equity']","[[34.52299909  6.08540732  3.14112548 14.39771418  1.83277625]
 [ 6.08540732 20.81009143  8.69786152  7.76004986  5.61924737]
 [ 3.14112548  8.69786152 29.16115716  8.11236787  6.33423752]
 [14.39771418  7.76004986  8.11236787 24.77505784  3.62423425]
 [ 1.83277625  5.61924737  6.33423752  3.62423425 14.83958778]]"
"['EXC US Equity', 'KMB US Equity', 'TGT US Equity', 'ABT US Equity', 'DTE US Equity']","[[ 2.58921589e+01  6.47096926e+00  2.72806342e+00  4.89678330e+00
   1.19349608e+01]
 [ 6.47096926e+00  1.89889143e+01  8.93653031e-03  8.68989909e+00
   7.58649282e+00]
 [ 2.72806342e+00  8.93653031e-03  4.35782631e+01  5.19269506e+00
  -4.85471207e-01]
 [ 4.89678330e+00  8.68989909e+00  5.19269506e+00  2.47750578e+01
   3.62423425e+00]
 [ 1.19349608e+01  7.58649282e+00 -4.85471207e-01  3.62423425e+00
   1.48395878e+01]]"
"['EXC US Equity', 'KMB US Equity', 'DUK US Equity', 'DTE US Equity', 'WEC US Equity']","[[25.89215886  6.47096926 11.83651989 11.93496076 12.97943216]
 [ 6.47096926 18.98891434  8.44756961  7.58649282  8.30634734]
 [11.83651989  8.44756961 15.09230655 12.00045256 13.99886178]
 [11.93496076  7.58649282 12.00045256 14.83958778 13.85501748]
 [12.97943216  8.30634734 13.99886178 13.85501748 18.95565239]]"
"['F US Equity', 'BAX US Equity', 'TGT US Equity', 'HSY US Equity', 'WELL US Equity']","[[60.12884092 11.36110434 10.70107509 -2.19611815  7.59092693]
 [11.36110434 34.52299909  6.28670867  0.70200443  5.71196003]
 [10.70107509  6.28670867 43.5782631   1.54710836  0.67687823]
 [-2.19611815  0.70200443  1.54710836 24.23853542  8.49867145]
 [ 7.59092693  5.71196003  0.67687823  8.49867145 30.47520004]]"
"['BAX US Equity', 'TGT US Equity', 'T US Equity', 'MO US Equity']","[[34.52299909  6.28670867  6.08540732  3.14112548]
 [ 6.28670867 43.5782631   4.9351621   3.46409467]
 [ 6.08540732  4.9351621  20.81009143  8.69786152]
 [ 3.14112548  3.46409467  8.69786152 29.16115716]]"
"['BAX US Equity', 'TGT US Equity', 'DUK US Equity', 'HSY US Equity', 'WELL US Equity']","[[34.52299909  6.28670867  1.68159096  0.70200443  5.71196003]
 [ 6.28670867 43.5782631  -2.28759833  1.54710836  0.67687823]
 [ 1.68159096 -2.28759833 15.09230655  6.92183195 10.88876835]
 [ 0.70200443  1.54710836  6.92183195 24.23853542  8.49867145]
 [ 5.71196003  0.67687823 10.88876835  8.49867145 30.47520004]]"
"['F US Equity', 'NEM US Equity', 'PPL US Equity', 'ABT US Equity', 'HSY US Equity']","[[ 60.12884092  -0.64314394   2.76490375   7.97174775  -2.19611815]
 [ -0.64314394 103.03759492  -2.40971396   2.29416432   2.19901409]
 [  2.76490375  -2.40971396  19.51266423   5.56063142   1.80784233]
 [  7.97174775   2.29416432   5.56063142  24.77505784   3.96903426]
 [ -2.19611815   2.19901409   1.80784233   3.96903426  24.23853542]]"
"['F US Equity', 'EXC US Equity', 'TGT US Equity', 'DUK US Equity', 'T US Equity']","[[60.12884092  2.10823493 10.70107509 -0.4362186   4.29453088]
 [ 2.10823493 25.89215886  2.72806342 11.83651989  6.27166154]
 [10.70107509  2.72806342 43.5782631  -2.28759833  4.9351621 ]
 [-0.4362186  11.83651989 -2.28759833 15.09230655  4.90012192]
 [ 4.29453088  6.27166154  4.9351621   4.90012192 20.81009143]]"
