iter	Passed	Remaining
455	997	1190
456	998	1186
457	998	1182
458	999	1178
459	1000	1174
460	1001	1170
461	1001	1166
462	1002	1162
463	1002	1158
464	1003	1154
465	1003	1150
466	1004	1146
467	1004	1142
468	1005	1138
469	1006	1135
470	1009	1133
471	1011	1131
472	1012	1127
473	1012	1123
474	1013	1120
475	1014	1116
476	1015	1113
477	1016	1109
478	1016	1105
479	1017	1102
480	1018	1098
481	1018	1094
482	1019	1091
483	1019	1087
484	1020	1083
485	1021	1079
486	1022	1077
487	1024	1075
488	1025	1071
489	1026	1068
490	1028	1066
491	1030	1064
492	1032	1061
493	1033	1059
494	1035	1056
495	1042	1059
496	1045	1058
497	1047	1055
498	1048	1052
499	1049	1049
500	1050	1046
501	1051	1043
502	1052	1039
503	1054	1037
504	1056	1035
505	1057	1032
506	1057	1028
507	1058	1025
508	1059	1022
509	1060	1018
510	1060	1015
511	1061	1011
512	1062	1008
513	1063	1005
514	1063	1001
515	1064	998
516	1064	994
517	1065	991
518	1066	988
519	1069	987
520	1072	986
521	1073	983
522	1074	979
523	1075	976
524	1075	973
525	1076	970
526	1077	966
527	1077	963
528	1079	960
529	1079	957
530	1080	954
531	1081	950
532	1083	949
533	1084	946
534	1085	943
535	1085	940
536	1086	936
537	1087	933
538	1087	930
539	1088	926
540	1088	923
541	1089	920
542	1090	917
543	1090	914
544	1091	911
545	1091	907
546	1092	904
547	1092	901
548	1093	898
549	1095	896
550	1098	895
551	1100	893
552	1102	891
553	1104	888
554	1105	886
555	1107	884
556	1109	882
557	1109	878
558	1110	876
559	1111	873
560	1114	871
561	1115	869
562	1117	867
563	1118	864
564	1118	861
565	1119	858
566	1120	855
567	1121	852
568	1121	849
569	1122	846
570	1122	843
571	1123	840
572	1123	837
573	1124	834
574	1125	831
575	1127	829
576	1129	827
577	1129	824
578	1131	822
579	1132	820
580	1133	817
581	1134	814
582	1134	811
583	1135	808
584	1135	805
585	1136	802
586	1136	799
587	1137	797
588	1138	794
589	1138	791
590	1139	788
591	1140	785
592	1141	783
593	1142	781
594	1143	778
595	1144	775
596	1144	772
597	1145	769
598	1146	767
599	1147	764
600	1147	762
601	1148	759
602	1148	756
603	1149	753
604	1151	751
605	1151	748
606	1152	746
607	1153	743
608	1153	740
609	1154	738
610	1155	735
611	1157	733
612	1158	731
613	1158	728
614	1159	725
615	1160	723
616	1162	721
617	1163	719
618	1163	716
619	1164	713
620	1165	711
621	1166	708
622	1168	707
623	1170	705
624	1171	702
625	1173	700
626	1174	698
627	1176	696
628	1177	694
629	1179	692
630	1180	690
631	1182	688
632	1183	685
633	1183	683
634	1184	680
635	1186	679
636	1188	677
637	1188	674
638	1190	672
639	1191	670
640	1192	667
641	1193	665
642	1193	662
643	1194	660
644	1195	657
645	1196	655
646	1196	652
647	1197	650
648	1199	648
649	1201	646
650	1202	644
651	1204	642
652	1206	640
653	1208	639
654	1209	636
655	1209	634
656	1210	631
657	1211	629
658	1211	626
659	1212	624
660	1214	623
661	1216	621
662	1217	618
663	1218	616
664	1220	614
665	1222	612
666	1223	610
667	1225	608
668	1226	607
669	1229	605
670	1231	603
671	1232	601
672	1232	598
673	1233	596
674	1234	594
675	1234	591
676	1235	589
677	1236	587
678	1237	585
679	1238	582
680	1238	580
681	1239	577
682	1239	575
683	1240	573
684	1241	570
685	1241	568
686	1243	566
687	1245	564
688	1246	562
689	1246	560
690	1247	557
691	1248	555
692	1248	553
693	1249	550
694	1251	549
695	1253	547
696	1253	545
697	1254	542
698	1255	540
699	1255	538
700	1256	535
701	1256	533
702	1258	531
703	1260	529
704	1260	527
705	1261	525
706	1261	522
707	1262	520
708	1263	518
709	1263	516
710	1264	513
711	1265	511
712	1265	509
713	1266	507
714	1266	504
715	1267	502
716	1268	500
717	1269	498
718	1270	496
719	1273	495
720	1274	493
721	1276	491
722	1278	489
723	1280	488
724	1282	486
725	1283	484
726	1284	482
727	1286	480
728	1288	478
729	1289	476
730	1290	474
731	1290	472
732	1291	470
733	1292	468
734	1292	466
735	1293	463
736	1293	461
737	1294	459
738	1295	457
739	1295	455
740	1296	453
741	1297	451
742	1297	448
743	1298	446
744	1299	444
745	1299	442
746	1301	440
747	1303	438
748	1303	436
749	1304	434
750	1305	432
751	1305	430
752	1306	428
753	1307	426
754	1308	424
755	1310	422
756	1311	420
757	1311	418
758	1312	416
759	1313	414
760	1313	412
761	1314	410
762	1315	408
763	1317	406
764	1318	404
765	1318	402
766	1319	400
767	1320	398
768	1320	396
769	1321	394
770	1321	392
771	1322	390
772	1323	388
773	1324	386
774	1325	384
775	1325	382
776	1326	380
777	1327	378
778	1327	376
779	1328	374
780	1328	372
781	1329	370
782	1331	368
783	1332	367
784	1333	365
785	1335	363
786	1336	361
787	1338	360
788	1340	358
789	1342	356
790	1343	355
791	1344	353
792	1346	351
793	1347	349
794	1348	347
795	1348	345
796	1349	343
797	1350	341
798	1350	339
799	1351	337
800	1352	335
801	1352	333
802	1353	332
803	1354	330
804	1355	328
805	1356	326
806	1356	324
807	1357	322
808	1358	320
809	1358	318
810	1360	317
811	1362	315
812	1363	313
813	1365	311
814	1366	310
815	1367	308
816	1369	306
817	1370	305
818	1371	303
819	1373	301
820	1375	299
821	1377	298
822	1379	296
823	1380	294
824	1382	293
825	1383	291
826	1385	289
827	1386	288
828	1388	286
829	1390	284
830	1394	283
831	1397	282
832	1399	280
833	1402	279
834	1403	277
835	1405	275
836	1408	274
837	1410	272
838	1411	270
839	1413	269
840	1415	267
841	1416	265
842	1418	264
843	1419	262
844	1422	260
845	1424	259
846	1425	257
847	1426	255
848	1428	254
849	1430	252
850	1432	250
851	1432	248
852	1434	247
853	1436	245
854	1438	243
855	1439	242
856	1440	240
857	1440	238
858	1441	236
859	1441	234
860	1442	232
861	1443	231
862	1443	229
863	1445	227
864	1445	225
865	1446	223
866	1447	222
867	1447	220
868	1449	218
869	1453	217
870	1454	215
871	1456	213
872	1457	211
873	1458	210
874	1460	208
875	1460	206
876	1461	204
877	1461	203
878	1462	201
879	1463	199
880	1463	197
881	1464	195
882	1467	194
883	1468	192
884	1469	191
885	1470	189
886	1471	187
887	1472	185
888	1472	183
889	1473	182
890	1474	180
891	1474	178
892	1475	176
893	1476	175
894	1476	173
895	1477	171
896	1478	169
897	1478	167
898	1479	166
899	1481	164
900	1482	162
901	1482	161
902	1483	159
903	1483	157
904	1485	155
905	1485	154
906	1486	152
907	1486	150
908	1487	148
909	1487	147
910	1488	145
911	1488	143
912	1489	141
913	1490	140
914	1490	138
915	1491	136
916	1492	135
917	1492	133
918	1493	131
919	1495	130
920	1497	128
921	1497	126
922	1498	125
923	1499	123
924	1500	121
925	1500	119
926	1501	118
927	1502	116
928	1502	114
929	1503	113
930	1503	111
931	1504	109
932	1505	108
933	1505	106
934	1506	104
935	1507	103
936	1507	101
937	1508	99
938	1509	98
939	1510	96
940	1511	94
941	1512	93
942	1513	91
943	1513	89
944	1514	88
945	1514	86
946	1516	84
947	1516	83
948	1517	81
949	1518	79
950	1520	78
951	1522	76
952	1524	75
953	1527	73
954	1528	72
955	1529	70
956	1530	68
957	1531	67
958	1531	65
959	1532	63
960	1533	62
961	1533	60
962	1534	58
963	1534	57
964	1535	55
965	1535	54
966	1536	52
967	1537	50
968	1538	49
969	1540	47
970	1541	46
971	1542	44
972	1542	42
973	1543	41
974	1544	39
975	1544	37
976	1545	36
977	1546	34
978	1546	33
979	1547	31
980	1548	29
981	1548	28
982	1549	26
983	1549	25
984	1550	23
985	1550	22
986	1551	20
987	1551	18
988	1553	17
989	1555	15
990	1556	14
991	1557	12
992	1557	10
993	1558	9
994	1559	7
995	1559	6
996	1560	4
997	1560	3
998	1561	1
999	1561	0
